IDSubtitle	MovieName	MovieYear	LanguageName	ISO639	SubAddDate	ImdbID	SubFormat	SubSumCD	MovieReleaseName	MovieFPS	SeriesSeason	SeriesEpisode	SeriesIMDBParent	MovieKind	URL
9482614	"I Am Georgina" Mudanza, proyectos y buenas noticias		Spanish	es	2023-03-28 17:24:42	17520978	srt	1	 Soy.Georgina.S01E06.WEBRip.Netflix.es-ES-forced	0.000	1	6	15494864	tv	http://www.opensubtitles.org/subtitles/9482614/i-am-georgina-mudanza-proyectos-y-buenas-noticias-es
9482616	"I Am Georgina" Nada es perfecto	2022	Spanish	es	2023-03-28 17:25:09	27236484	srt	1	 Soy.Georgina.S02E01.WEBRip.Netflix.es-ES-forced	0.000	2	1	15494864	tv	http://www.opensubtitles.org/subtitles/9482616/i-am-georgina-nada-es-perfecto-es
9482615	"I Am Georgina" Nada es perfecto	2022	Spanish	es	2023-03-28 17:25:09	27236484	srt	1	 Soy.Georgina.S02E01.WEBRip.Netflix.es-ES[cc]	0.000	2	1	15494864	tv	http://www.opensubtitles.org/subtitles/9482615/i-am-georgina-nada-es-perfecto-es
9482618	"I Am Georgina" La vida sigue	2023	Spanish	es	2023-03-28 17:25:17	27236487	srt	1	 Soy.Georgina.S02E02.WEBRip.Netflix.es-ES[cc]	0.000	2	2	15494864	tv	http://www.opensubtitles.org/subtitles/9482618/i-am-georgina-la-vida-sigue-es
9482619	"I Am Georgina" La vida sigue	2023	Spanish	es	2023-03-28 17:25:17	27236487	srt	1	 Soy.Georgina.S02E02.WEBRip.Netflix.es-ES-forced	0.000	2	2	15494864	tv	http://www.opensubtitles.org/subtitles/9482619/i-am-georgina-la-vida-sigue-es
9482621	"I Am Georgina" Una para todas y toda para una	2023	Spanish	es	2023-03-28 17:25:28	27236491	srt	1	 Soy.Georgina.S02E03.WEBRip.Netflix.es-ES-forced	0.000	2	3	15494864	tv	http://www.opensubtitles.org/subtitles/9482621/i-am-georgina-una-para-todas-y-toda-para-una-es
9482620	"I Am Georgina" Una para todas y toda para una	2023	Spanish	es	2023-03-28 17:25:28	27236491	srt	1	 Soy.Georgina.S02E03.WEBRip.Netflix.es-ES[cc]	0.000	2	3	15494864	tv	http://www.opensubtitles.org/subtitles/9482620/i-am-georgina-una-para-todas-y-toda-para-una-es
9482623	"I Am Georgina" La decisión de Gio		Spanish	es	2023-03-28 17:25:37	27236493	srt	1	 Soy.Georgina.S02E04.WEBRip.Netflix.es-ES-forced	0.000	2	4	15494864	tv	http://www.opensubtitles.org/subtitles/9482623/i-am-georgina-la-decision-de-gio-es
9482622	"I Am Georgina" La decisión de Gio		Spanish	es	2023-03-28 17:25:37	27236493	srt	1	 Soy.Georgina.S02E04.WEBRip.Netflix.es-ES[cc]	0.000	2	4	15494864	tv	http://www.opensubtitles.org/subtitles/9482622/i-am-georgina-la-decision-de-gio-es
9482625	"I Am Georgina" Sueños cumplidos		Spanish	es	2023-03-28 17:25:49	27236496	srt	1	 Soy.Georgina.S02E05.WEBRip.Netflix.es-ES-forced	0.000	2	5	15494864	tv	http://www.opensubtitles.org/subtitles/9482625/i-am-georgina-suenos-cumplidos-es
9482624	"I Am Georgina" Sueños cumplidos		Spanish	es	2023-03-28 17:25:49	27236496	srt	1	 Soy.Georgina.S02E05.WEBRip.Netflix.es-ES[cc]	0.000	2	5	15494864	tv	http://www.opensubtitles.org/subtitles/9482624/i-am-georgina-suenos-cumplidos-es
9482626	"I Am Georgina" El futuro es ahora		Spanish	es	2023-03-28 17:25:57	27236500	srt	1	 Soy.Georgina.S02E06.WEBRip.Netflix.es-ES[cc]	0.000	2	6	15494864	tv	http://www.opensubtitles.org/subtitles/9482626/i-am-georgina-el-futuro-es-ahora-es
9482627	"I Am Georgina" El futuro es ahora		Spanish	es	2023-03-28 17:25:57	27236500	srt	1	 Soy.Georgina.S02E06.WEBRip.Netflix.es-ES-forced	0.000	2	6	15494864	tv	http://www.opensubtitles.org/subtitles/9482627/i-am-georgina-el-futuro-es-ahora-es
9482501	Avatar: The Way of Water	2022	Turkish	tr	2023-03-28 17:26:32	1630029	srt	1	Avatar.The.Way.of.Water.2022.1080p.WEBRip.10Bit.DDP5.1.x	23.976	0	0	0	movie	http://www.opensubtitles.org/subtitles/9482501/avatar-the-way-of-water-tr
9482502	"War of the Worlds" Episode #2.2	2021	Serbian	sr	2023-03-28 17:28:23	12688194	srt	1	 War.of.the.Worlds.2019.S02E02.720p.DSNP.WEBRip.x264-GalaxyTV	25.000	2	2	9686194	tv	http://www.opensubtitles.org/subtitles/9482502/war-of-the-worlds-episode-2-2-sr
9482503	"The Blacklist" The Dockery Affair		Greek	el	2023-03-28 17:28:58	26939676	srt	1	the-blacklist-s10e05-webrip-x264-ion10	0.000	10	5	2741602	tv	http://www.opensubtitles.org/subtitles/9482503/the-blacklist-the-dockery-affair-el
9482628	"Elite" Desnudos	2022	Italian	it	2023-03-28 17:31:32	23744344	srt	1	 Elite.S06E03.WEBRip.Netflix	0.000	6	3	7134908	tv	http://www.opensubtitles.org/subtitles/9482628/elite-desnudos-it
9482629	"Elite" Desnudos	2022	Italian	it	2023-03-28 17:31:32	23744344	srt	1	 Elite.S06E03.WEBRip.Netflix.it-forced	0.000	6	3	7134908	tv	http://www.opensubtitles.org/subtitles/9482629/elite-desnudos-it
9482630	"Elite" Guerra	2022	Italian	it	2023-03-28 17:32:11	23744348	srt	1	 Elite.S06E04.WEBRip.Netflix	0.000	6	4	7134908	tv	http://www.opensubtitles.org/subtitles/9482630/elite-guerra-it
9482631	"Elite" Guerra	2022	Italian	it	2023-03-28 17:32:11	23744348	srt	1	 Elite.S06E04.WEBRip.Netflix.it-forced	0.000	6	4	7134908	tv	http://www.opensubtitles.org/subtitles/9482631/elite-guerra-it
